Queries, Returned rows, Average time(us), Minimum time, 25thPercentile, Median, 75thPercentile(us), 90thPercentile(us), Maximum 
q1_Values:customer_nationkeyBinomial-1_Id:60,0,13731.5,12729,12836,12916,13087,21086,21086
q1_Values:customer_nationkeyBinomial-2_Id:61,4,12987.0,12665,12754,12794,12828,14967,14967
q1_Values:customer_nationkeyBinomial-3_Id:62,15,13145.5,12468,12639,13003,13081,15820,15820
q1_Values:customer_nationkeyBinomial-4_Id:63,58,12823.1,12685,12716,12815,12855,13014,13014
q1_Values:customer_nationkeyBinomial-5_Id:64,227,12942.9,12733,12825,12881,13040,13267,13267
q1_Values:customer_nationkeyBinomial-7_Id:65,2103,14333.0,14224,14256,14304,14399,14561,14561
q1_Values:customer_nationkeyBinomial-12_Id:66,23303,29311.8,29062,29137,29287,29497,29895,29895
q1_Values:customer_nationkeyBinomial-15_Id:67,14554,23031.5,22782,22929,23111,23126,23228,23228
q1_Values:customer_nationkeyBinomial-20_Id:68,237,12858.8,12760,12792,12804,12891,13157,13157
q1_Values:customer_nationkeyBinomial-23_Id:69,2,12896.9,12678,12736,12854,12954,13598,13598
q1_Values:customer_nationkeyBinomial2-1_Id:70,0,14197.2,12925,12969,13320,13403,20972,20972
q1_Values:customer_nationkeyBinomial2-2_Id:71,0,13063.4,12758,12993,13123,13157,13204,13204
q1_Values:customer_nationkeyBinomial2-3_Id:72,0,12942.9,12778,12819,12965,13032,13174,13174
q1_Values:customer_nationkeyBinomial2-4_Id:73,0,12842.5,12557,12664,12789,12882,13449,13449
q1_Values:customer_nationkeyBinomial2-5_Id:74,0,12829.2,12739,12756,12822,12846,13084,13084
q1_Values:customer_nationkeyBinomial2-7_Id:75,0,13056.3,12867,12893,13170,13217,13294,13294
q1_Values:customer_nationkeyBinomial2-12_Id:76,54,13031.5,12882,12920,13038,13145,13296,13296
q1_Values:customer_nationkeyBinomial2-15_Id:77,1769,15449.0,14206,14319,14626,14741,23773,23773
q1_Values:customer_nationkeyBinomial2-20_Id:78,29447,33105.8,32759,32858,33069,33207,33685,33685
q1_Values:customer_nationkeyBinomial2-23_Id:79,10563,20325.2,20184,20217,20282,20456,20621,20621
q1_Values:customer_nationkeyBinomial3-1_Id:80,3492,18404.7,15407,15541,15659,23809,25277,25277
q1_Values:customer_nationkeyBinomial3-2_Id:81,10739,20522.1,20404,20426,20482,20625,20768,20768
q1_Values:customer_nationkeyBinomial3-3_Id:82,20394,26971.1,26608,26807,27033,27099,27220,27220
q1_Values:customer_nationkeyBinomial3-4_Id:83,28113,32474.3,32131,32245,32350,32664,33399,33399
q1_Values:customer_nationkeyBinomial3-5_Id:84,29402,33479.1,33229,33357,33446,33533,33863,33863
q1_Values:customer_nationkeyBinomial3-7_Id:85,16557,26598.5,24213,24233,24409,31443,32133,32133
q1_Values:customer_nationkeyBinomial3-12_Id:86,175,12906.7,12799,12809,12916,12932,13093,13093
q1_Values:customer_nationkeyBinomial3-15_Id:87,1,12920.8,12674,12722,12866,13070,13492,13492
q1_Values:customer_nationkeyBinomial3-20_Id:88,0,12895.0,12744,12749,12892,12916,13382,13382
q1_Values:customer_nationkeyBinomial3-23_Id:89,0,12843.2,12707,12761,12801,12910,13145,13145
q2_Values:customer-24-34-%_Id:90,5983,23403.0,21379,21422,21692,22078,38785,38785
q2_Values:customer-17-27-%_Id:91,5975,24379.0,21767,21911,22115,22787,43511,43511
q2_Values:customer-21-31-%_Id:92,6008,23673.8,21347,21512,21766,24452,35373,35373
q2_Values:customer-2-12-%_Id:93,5999,26731.2,23093,24266,24448,24760,39992,39992
q2_Values:customer_phoneuniform-24-34-%_Id:94,247,21090.8,17466,17483,17585,18023,35867,35867
q2_Values:customer_phoneuniform-17-27-%_Id:95,251,24593.4,17911,18039,18105,18268,64548,64548
q2_Values:customer_phoneuniform-21-31-%_Id:96,254,19176.0,17486,17507,17679,17914,32329,32329
q2_Values:customer_phoneuniform-2-12-%_Id:97,243,18352.6,17150,17318,17517,17603,26498,26498
q2_Values:customer_phone1to1-24-34-%_Id:98,5983,25049.5,21675,21747,24316,24840,31954,31954
