q0_Values:customer-FURNITURE_Id:0,480564,494364,492679,498151,493619,492424,491939,495391,491528,493706
q0_Values:customer-BUILDING_Id:1,497523,491137,498443,494094,498199,496257,494153,487492,499008,496780
q0_Values:customer-HOUSEHOLD_Id:2,494396,498500,495440,498690,497789,496003,490429,498927,494613,498213
q0_Values:customer-MACHINERY_Id:3,507372,503543,506341,490202,493927,501362,513366,493095,501193,494128
q0_Values:customer-AUTOMOBILE_Id:4,494989,503713,491722,498850,497938,497252,486141,498427,493025,500882
q0_Values:customer_mktsegZipf-FURNITURE_Id:5,355674,355359,344866,356248,350549,356544,361499,351514,359476,352160
q0_Values:customer_mktsegZipf-BUILDING_Id:6,549116,541311,544153,542847,545539,549725,539870,542751,541345,541177
q0_Values:customer_mktsegZipf-HOUSEHOLD_Id:7,261536,257089,258979,259010,260207,258644,257387,256199,262016,257530
q0_Values:customer_mktsegZipf-MACHINERY_Id:8,207068,210374,210315,209276,208622,205534,209850,210658,211563,207624
q0_Values:customer_mktsegZipf-AUTOMOBILE_Id:9,614418,585862,583411,582770,582450,581961,586505,599669,582081,715679
q0_Values:customer_mktsegBinomial-FURNITURE_Id:10,147326,145231,148271,149184,147827,150601,147879,144810,146667,144768
q0_Values:customer_mktsegBinomial-BUILDING_Id:11,621972,625621,633762,621280,625110,625240,613294,627650,619848,626928
q0_Values:customer_mktsegBinomial-HOUSEHOLD_Id:12,525963,523694,520351,553765,524072,561800,521414,520730,526681,520784
q0_Values:customer_mktsegBinomial-MACHINERY_Id:13,619486,626142,617895,626392,625372,618706,631295,619117,631497,626457
q0_Values:customer_mktsegBinomial-AUTOMOBILE_Id:14,150044,154536,151430,147935,149916,150108,146192,149306,148213,149142
q0_Values:customer_bloatedmktseg-FURNITURE_Id:15,32305,31471,32932,31660,31075,31615,31138,31174,31148,31955
q0_Values:customer_bloatedmktseg-BUILDING_Id:16,32025,35111,31052,30961,32182,32965,33868,31090,30782,31759
q0_Values:customer_bloatedmktseg-HOUSEHOLD_Id:17,31091,30972,32032,30865,33142,31586,30828,31035,30808,31123
q0_Values:customer_bloatedmktseg-MACHINERY_Id:18,31904,33246,31031,30935,30896,30984,31504,30635,31390,31705
q0_Values:customer_bloatedmktseg-AUTOMOBILE_Id:19,31840,31091,31071,31230,31634,31113,31571,30805,30852,42064
q1_Values:customer-1_Id:20,94565,93454,90962,89389,87844,92670,91711,91730,92745,93062
q1_Values:customer-2_Id:21,90984,90983,92111,88483,89409,92672,92824,90316,90655,91488
q1_Values:customer-3_Id:22,92417,88825,92184,89277,88505,91046,90288,89838,92046,91132
q1_Values:customer-4_Id:23,92621,93219,94075,89497,90630,94401,93138,90254,93413,92101
q1_Values:customer-5_Id:24,93980,93202,92468,87233,93459,92609,93176,92922,91277,92738
q1_Values:customer-7_Id:25,92605,91661,90027,88595,92903,91453,93133,92826,91787,88935
q1_Values:customer-12_Id:26,90368,89843,88152,88057,89891,90687,90794,90685,90098,88812
q1_Values:customer-15_Id:27,89471,90973,88578,87035,91346,91700,90428,88694,87097,90374
q1_Values:customer-20_Id:28,90846,89711,87105,86455,91486,91497,90703,91580,91713,92149
q1_Values:customer-23_Id:29,92648,93460,88108,90399,90861,93301,93581,93546,92180,91683
q1_Values:customer_nationkeyZipf1-1_Id:30,50661,49676,54512,48420,48395,52704,52154,48437,49923,53968
q1_Values:customer_nationkeyZipf1-2_Id:31,44352,43493,43330,43901,42038,43490,42728,42394,42240,42511
q1_Values:customer_nationkeyZipf1-3_Id:32,41524,40404,38641,39455,39209,38870,39171,39673,40342,39765
q1_Values:customer_nationkeyZipf1-4_Id:33,45481,45209,45155,44307,46239,42617,44874,44731,44246,44060
q1_Values:customer_nationkeyZipf1-5_Id:34,42391,41724,42460,41936,41602,40730,41788,40229,42500,44614
q1_Values:customer_nationkeyZipf1-7_Id:35,40157,43428,39048,38695,40048,38998,38755,37980,36748,38840
q1_Values:customer_nationkeyZipf1-12_Id:36,70751,66322,71019,65531,64301,68627,68272,69016,69217,71032
q1_Values:customer_nationkeyZipf1-15_Id:37,40555,41756,40214,40288,41373,40211,41070,40387,41260,40961
q1_Values:customer_nationkeyZipf1-20_Id:38,40542,40068,40150,40761,39752,38580,40419,39750,40560,39482
q1_Values:customer_nationkeyZipf1-23_Id:39,102409,102627,102762,102519,105041,99520,102913,101596,103476,102878
q1_Values:customer_nationkeyZipf2-1_Id:40,37186,36801,35960,36299,39581,38573,35373,35480,35996,34959
q1_Values:customer_nationkeyZipf2-2_Id:41,28963,28551,30018,28565,28454,28675,28584,28317,28735,28238
q1_Values:customer_nationkeyZipf2-3_Id:42,34844,33557,34662,34406,35210,33802,35083,34413,34169,33774
q1_Values:customer_nationkeyZipf2-4_Id:43,32567,29758,32729,36430,29427,29374,29879,29186,29469,28804
q1_Values:customer_nationkeyZipf2-5_Id:44,167860,167766,166207,165774,165117,167685,167161,167365,165662,167917
q1_Values:customer_nationkeyZipf2-7_Id:45,31026,29521,29856,29587,30560,30208,30939,29827,29517,29453
q1_Values:customer_nationkeyZipf2-12_Id:46,32024,31747,30947,31859,32289,30512,30474,30963,30905,31002
q1_Values:customer_nationkeyZipf2-15_Id:47,42828,41866,42333,41723,41757,41071,40157,41204,41229,41297
q1_Values:customer_nationkeyZipf2-20_Id:48,35629,33275,33711,34081,34779,32858,32378,33951,32573,33240
q1_Values:customer_nationkeyZipf2-23_Id:49,32313,30816,30464,33809,30075,30251,29602,30216,30242,29686
q1_Values:customer_nationkeyZipfWorstcase-1_Id:50,325266,324319,318267,321761,324224,319895,323794,321729,322500,322557
q1_Values:customer_nationkeyZipfWorstcase-2_Id:51,210867,208740,209237,209762,211394,208855,205342,208849,210272,209069
q1_Values:customer_nationkeyZipfWorstcase-3_Id:52,156730,157232,159054,158981,159251,156570,156198,154270,159843,159763
q1_Values:customer_nationkeyZipfWorstcase-4_Id:53,124622,122980,123571,120575,124288,124833,124852,125770,124905,124996
